Filename	WER	PESQ	timepercentage
common_voice_ca_31159651.wav	0.09090909090909091	3.8385	1
upc_ca_pau_101071.wav	0.0	4.1395	1
upc_ca_pau_101105.wav	0.0	4.1568	1
upc_ca_pau_101081.wav	0.0	4.1545	1
common_voice_ca_31107623.wav	0.0	3.5895	1
common_voice_ca_30783618.wav	0.0	3.6117	1
common_voice_ca_30788569.wav	0.0	3.9142	1
common_voice_ca_31320917.wav	0.0	3.7513	1
common_voice_ca_31308015.wav	0.0	4.1435	1
common_voice_ca_31257236.wav	0.0625	3.9859	1
common_voice_ca_31192759.wav	0.0	3.9707	1
common_voice_ca_31497486.wav	0.0	4.2862	1
upc_ca_pau_101074.wav	0.0	4.5469	1
common_voice_ca_31634015.wav	0.0	3.9213	1
upc_ca_pau_101005.wav	0.05263157894736842	4.1084	1
upc_ca_ona_100023.wav	0.030303030303030304	4.2930	1
common_voice_ca_31809241.wav	0.0	4.4124	1
common_voice_ca_31352054.wav	0.0	3.6563	1
upc_ca_pau_101043.wav	0.029411764705882353	4.2203	1
common_voice_ca_31226001.wav	0.0	3.8534	1
upc_ca_ona_100083.wav	0.037037037037037035	4.1439	1
common_voice_ca_31324791.wav	0.0	4.0633	1
common_voice_ca_31063225.wav	0.0	4.4153	1
common_voice_ca_31391064.wav	0.0	4.1334	1
common_voice_ca_30798367.wav	0.0	3.7676	1
upc_ca_pau_101027.wav	0.0	4.0171	1
upc_ca_pau_101023.wav	0.09090909090909091	4.3427	1
common_voice_ca_31501024.wav	0.0	4.0045	1
upc_ca_pau_101038.wav	0.03125	4.2278	1
upc_ca_pau_101041.wav	0.0	4.5543	1
upc_ca_pau_101033.wav	0.0	4.3054	1
common_voice_ca_31319267.wav	0.0	4.1531	1
common_voice_ca_23925403.wav	0.08333333333333333	3.8215	1
common_voice_ca_30746866.wav	0.0	4.3356	1
upc_ca_pau_101029.wav	0.0	4.3648	1
upc_ca_pau_101024.wav	0.0	4.0781	1
upc_ca_pau_101035.wav	0.03225806451612903	4.2959	1
common_voice_ca_30759191.wav	0.0	3.4147	1
upc_ca_pau_101015.wav	0.0	4.4754	1
common_voice_ca_30949777.wav	0.1	3.9604	1
upc_ca_pau_101040.wav	0.0	4.3132	1
common_voice_ca_31553529.wav	0.0	3.9945	1
upc_ca_ona_100090.wav	0.1111111111111111	3.9939	1
common_voice_ca_31233148.wav	0.0	4.0581	1
common_voice_ca_31340770.wav	0.0	3.9078	1
upc_ca_pau_101055.wav	0.0	4.2113	1
upc_ca_ona_100009.wav	0.0	4.1817	1
upc_ca_ona_100088.wav	0.037037037037037035	4.1377	1
